N,ph,ec,oc,S,B,Zn,Fe,Mn,Cu,,,,,,,
255.6,5.24,0.07,1.52,44.12,1.26,0.42,32.66,0.76,0.2,,,,,,,
284.6,5.24,0.08,1.46,32.55,1.26,0.42,36.02,0.75,0.2,,,,,,,
284.5,5.24,0.07,1.48,31.45,1.36,0.56,32.08,0.96,0.2,,,,,,,
285.6,5.26,0.07,1.45,44.22,1.26,0.44,36.24,0.74,0.2,,,,,,,
269.3,5.24,0.07,1.48,42.16,2.58,0.48,36.22,0.74,0.2,,,,,,,
248.6,5.55,0.07,1.32,30.22,1.06,0.52,31.04,0.74,0.2,,,,,,,
285.6,5.56,0.07,1.66,35.02,1.08,0.42,38.26,0.74,0.2,,,,,,,
284.5,5.63,0.07,1.44,36.05,1.22,0.52,31.01,0.74,0.2,,,,,,,
245.2,5.26,0.07,1.44,44.5,1.04,0.52,35.02,0.78,0.2,,,,,,,
285.6,5.24,0.07,1.46,44.66,1.08,0.46,36.02,0.76,0.2,,,,,,,
255.2,5.23,0.07,1.52,30.26,1.26,0.58,40.03,0.66,0.2,,,,,,,
264.5,5.22,0.07,1.53,34.55,1.06,0.44,38.56,0.66,0.2,,,,,,,
285.6,5.44,0.07,1.54,30.55,1.02,0.56,35.24,0.66,0.2,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.2,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.2,,,,,,,
289.5,5.45,0.07,1.66,44.26,2.54,0.46,32.25,0.78,0.2,,,,,,,
255.6,5.24,0.07,1.52,44.12,1.26,0.42,32.66,0.76,0.2,,,,,,,
256.3,5.23,0.07,1.48,45.63,1.44,0.48,32.22,0.78,0.2,,,,,,,
265.3,5.56,0.07,1.44,48.65,1.22,0.42,36.24,0.74,0.2,,,,,,,
279.6,5.26,0.07,1.44,48.56,2.56,0.42,36.22,0.74,0.2,,,,,,,
248.6,5.55,0.08,1.52,42.12,2.58,0.48,36.66,0.74,0.2,,,,,,,
276.3,5.23,0.08,1.53,42.13,2.44,0.46,36.66,0.74,0.2,,,,,,,
255.6,5.24,0.07,1.49,32.55,1.26,0.42,44.66,0.62,0.2,,,,,,,
289.6,5.66,0.07,1.45,36.25,1.44,0.52,36.01,0.66,0.2,,,,,,,
245.6,5.26,0.07,1.46,30.25,1.24,0.54,33.64,0.94,0.2,,,,,,,
247.6,5.24,0.07,1.42,36.12,1.66,0.44,33.02,0.96,0.2,,,,,,,
256.3,5.23,0.07,1.48,45.63,1.44,0.48,32.22,0.78,0.2,,,,,,,
256.2,5.66,0.07,1.48,32.23,1.24,0.48,34.04,0.74,0.2,,,,,,,
288.6,5.24,0.07,1.44,41.12,1.24,0.48,24.66,0.76,0.2,,,,,,,
277.4,5.23,0.07,1.46,44.56,1.26,0.62,48.22,0.76,0.2,,,,,,,
274.3,5.24,0.07,1.45,46.33,2.66,0.28,42.24,0.74,0.2,,,,,,,
265.4,5.28,0.08,1.54,44.61,2.24,0.44,34.22,0.76,0.2,,,,,,,
265.3,5.46,0.07,1.48,34.02,1.34,0.52,33.02,0.96,0.2,,,,,,,
255.6,5.24,0.07,1.46,45.46,1.26,0.46,32.88,0.74,0.2,,,,,,,
289.6,5.23,0.07,1.45,44.65,1.26,0.42,32.44,0.78,0.2,,,,,,,
285.3,5.55,0.07,1.48,41.15,1.24,0.42,32.44,0.64,0.2,,,,,,,
284.5,5.63,0.07,1.44,36.05,1.22,0.52,31.01,0.74,0.2,,,,,,,
265.3,5.56,0.07,1.44,48.65,1.22,0.42,36.24,0.74,0.2,,,,,,,
246.2,5.26,0.07,1.46,41.22,1.22,0.46,36.22,0.74,0.2,,,,,,,
289.6,5.66,0.07,1.45,36.25,1.44,0.52,36.01,0.66,0.2,,,,,,,
247.6,5.24,0.07,1.42,36.12,1.66,0.44,33.02,0.96,0.2,,,,,,,
245.6,5.26,0.07,1.46,30.25,1.24,0.54,33.64,0.94,0.2,,,,,,,
284.5,5.24,0.07,1.48,31.45,1.36,0.56,32.08,0.96,0.2,,,,,,,
278.5,5.21,0.07,1.42,40.21,2.46,0.46,42.22,0.74,0.2,,,,,,,
271.1,5.65,0.07,1.49,58.18,2.56,0.58,43.92,0.74,0.2,,,,,,,
274.5,5.25,0.07,1.33,46.22,2.36,0.52,44.22,0.78,0.2,,,,,,,
278.6,5.45,0.07,1.43,41.25,2.36,0.42,44.22,0.56,0.2,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.3,,,,,,,
268.4,5.56,0.07,1.55,44.36,2.22,0.44,34.12,0.74,0.3,,,,,,,
274.6,5.22,0.08,1.48,47.12,2.24,0.42,36.28,0.94,0.2,,,,,,,
278.6,5.24,0.08,1.49,40.12,2.66,0.42,33.64,0.92,0.2,,,,,,,
280.3,5.44,0.07,1.44,55.16,2.53,0.46,43.26,0.76,0.2,,,,,,,
246.3,5.24,0.07,1.55,41.22,1.22,0.58,32.06,0.74,0.2,,,,,,,
271.1,5.65,0.07,1.49,58.18,2.56,0.58,43.92,0.74,0.2,,,,,,,
285.6,5.24,0.07,1.46,44.66,1.08,0.46,36.02,0.76,0.2,,,,,,,
274.5,5.25,0.07,1.33,46.22,2.36,0.52,44.22,0.78,0.2,,,,,,,
245.2,5.26,0.07,1.44,44.5,1.04,0.52,35.02,0.78,0.2,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.2,,,,,,,
256.4,5.85,0.06,1.46,32.12,1.04,0.28,36.22,0.54,0.2,,,,,,,
248.6,5.66,0.08,1.54,48.56,2.56,0.44,34.44,0.78,0.2,,,,,,,
258.4,5.26,0.07,1.42,44.14,2.44,0.64,34.66,0.72,0.2,,,,,,,
278.2,5.66,0.08,1.44,41.63,2.44,0.46,48.22,0.76,0.2,,,,,,,
258.4,5.26,0.07,1.42,44.14,2.44,0.64,34.66,0.72,0.2,,,,,,,
285.6,5.24,0.07,1.46,44.66,1.08,0.46,36.02,0.76,0.2,,,,,,,
277.5,5.12,0.07,1.45,40.12,2.54,0.58,44.62,0.46,0.2,,,,,,,
285.6,5.44,0.07,1.54,30.55,1.02,0.56,35.24,0.66,0.3,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.3,,,,,,,
248.5,5.55,0.07,1.44,44.25,1.06,0.56,31.02,0.78,0.3,,,,,,,
278.5,5.45,0.08,1.44,41.25,2.26,0.55,42.22,0.78,0.2,,,,,,,
278.2,5.66,0.08,1.44,41.63,2.44,0.46,48.22,0.76,0.2,,,,,,,
266.3,5.47,0.08,1.45,48.5,2.22,0.42,42.66,0.74,0.2,,,,,,,
248.6,5.55,0.07,1.32,30.22,1.06,0.52,31.04,0.74,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.2,,,,,,,
265.4,5.44,0.07,1.42,42.52,2.66,0.62,46.22,0.74,0.2,,,,,,,
265.3,5.65,0.08,1.24,48.2,2.28,0.46,39.88,0.74,0.2,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.2,,,,,,,
268.4,5.56,0.07,1.55,44.36,2.22,0.44,34.12,0.74,0.2,,,,,,,
254.6,5.25,0.07,1.46,35.02,1.36,0.54,31.05,0.64,0.2,,,,,,,
248.6,5.55,0.07,1.32,30.22,1.06,0.52,31.04,0.74,0.2,,,,,,,
258.4,5.26,0.07,1.42,44.14,2.44,0.64,34.66,0.72,0.2,,,,,,,
278.5,5.21,0.07,1.42,40.21,2.46,0.46,42.22,0.74,0.2,,,,,,,
277.4,5.23,0.07,1.46,44.56,1.26,0.62,48.22,0.76,0.2,,,,,,,
277.5,5.12,0.07,1.45,40.12,2.54,0.58,44.62,0.46,0.2,,,,,,,
271.1,5.65,0.07,1.49,58.18,2.56,0.58,43.92,0.74,0.2,,,,,,,
280.3,5.44,0.07,1.44,55.16,2.53,0.46,43.26,0.76,0.2,,,,,,,
255.6,5.24,0.07,1.49,32.55,1.26,0.42,44.66,0.62,0.2,,,,,,,
246.2,5.26,0.07,1.56,30.12,1.24,0.54,41.02,0.66,0.2,,,,,,,
255.2,5.23,0.07,1.52,30.26,1.26,0.58,40.03,0.64,0.2,,,,,,,
264.5,5.22,0.07,1.53,34.55,1.06,0.44,38.56,0.66,0.2,,,,,,,
285.6,5.44,0.07,1.54,30.55,1.02,0.56,35.24,0.66,0.3,,,,,,,
285.6,5.24,0.07,1.46,44.66,1.08,0.46,36.02,0.76,0.2,,,,,,,
284.5,5.63,0.07,1.44,36.05,1.22,0.52,31.01,0.74,0.2,,,,,,,
265.3,5.46,0.07,1.48,34.02,1.34,0.52,33.02,0.96,0.2,,,,,,,
277.4,5.25,0.07,1.48,48.55,2.88,0.86,42.32,0.78,0.2,,,,,,,
274.3,5.24,0.07,1.45,46.33,2.66,0.28,42.24,0.74,0.2,,,,,,,
274.1,5.26,0.08,1.44,42.55,2.48,0.34,48.26,0.72,0.2,,,,,,,
265.3,5.28,0.08,1.24,48.2,2.28,0.46,39.88,0.74,0.2,,,,,,,
285.4,5.28,0.08,1.44,44.63,2.44,0.46,36.34,0.74,0.2,,,,,,,
278.4,5.28,0.08,1.46,44.25,2.66,0.42,32.44,0.78,0.2,,,,,,,
277.1,5.28,0.08,1.45,44.12,2.88,0.48,33.66,0.76,0.2,,,,,,,
246.3,5.36,0.08,1.46,48.65,2.56,0.46,33.54,0.96,0.2,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.2,,,,,,,
277.4,5.23,0.07,1.46,44.56,1.26,0.62,48.22,0.76,0.2,,,,,,,
285.6,5.56,0.07,1.66,35.02,1.08,0.42,38.26,0.74,0.2,,,,,,,
277.4,5.25,0.07,1.48,48.55,2.88,0.86,42.32,0.78,0.2,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.3,,,,,,,
278.5,5.45,0.08,1.44,41.25,2.26,0.55,42.22,0.78,0.2,,,,,,,
246.3,5.24,0.07,1.55,41.22,1.22,0.58,32.06,0.74,0.3,,,,,,,
248.6,5.55,0.07,1.32,30.22,1.06,0.52,31.04,0.74,0.2,,,,,,,
278.6,5.45,0.07,1.43,41.25,2.36,0.42,44.22,0.56,0.2,,,,,,,
266.3,5.47,0.08,1.45,48.5,2.22,0.42,42.66,0.74,0.2,,,,,,,
285.6,5.56,0.07,1.66,35.02,1.08,0.42,38.26,0.74,0.2,,,,,,,
278.2,5.66,0.08,1.44,41.63,2.44,0.46,48.22,0.76,0.2,,,,,,,
276.3,5.28,0.08,1.44,56.32,2.55,0.44,32.66,0.64,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.3,,,,,,,
248.6,5.56,0.07,1.45,30.66,1.22,0.44,48.22,0.68,0.2,,,,,,,
285.6,5.44,0.07,1.54,30.55,1.02,0.56,35.24,0.66,0.2,,,,,,,
285.3,5.55,0.07,1.48,41.15,1.24,0.42,32.44,0.64,0.2,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.2,,,,,,,
245.6,5.45,0.07,1.46,41.22,1.24,0.48,44.26,0.68,0.2,,,,,,,
246.2,5.26,0.07,1.46,41.22,1.22,0.46,36.22,0.74,0.2,,,,,,,
245.2,5.26,0.07,1.44,44.5,1.04,0.52,35.02,0.78,0.2,,,,,,,
265.4,5.44,0.07,1.42,42.52,2.66,0.62,46.22,0.74,0.2,,,,,,,
266.3,5.47,0.08,1.45,48.5,2.22,0.42,42.66,0.74,0.2,,,,,,,
265.4,5.28,0.08,1.54,44.61,2.24,0.44,34.22,0.76,0.2,,,,,,,
265.4,5.44,0.07,1.42,42.52,2.66,0.62,46.22,0.74,0.2,,,,,,,
274.3,5.24,0.07,1.45,46.33,2.66,0.28,42.24,0.74,0.2,,,,,,,
274.1,5.26,0.08,1.44,42.55,2.48,0.34,48.26,0.72,0.2,,,,,,,
278.6,5.45,0.07,1.43,41.25,2.36,0.42,44.22,0.56,0.2,,,,,,,
265.3,5.66,0.06,1.45,33.25,1.02,0.44,33.56,0.56,0.2,,,,,,,
246.2,5.41,0.06,1.46,34.55,1.06,0.22,35.22,0.54,0.2,,,,,,,
254.6,5.22,0.06,1.48,35.25,1.04,0.48,32.41,0.52,0.2,,,,,,,
258.4,5.26,0.07,1.42,44.14,2.44,0.64,34.66,0.72,0.2,,,,,,,
285.6,5.44,0.07,1.54,30.55,1.02,0.56,35.24,0.66,0.2,,,,,,,
264.5,5.22,0.07,1.53,34.55,1.06,0.44,38.56,0.66,0.2,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.2,,,,,,,
264.5,5.22,0.07,1.53,34.55,1.06,0.44,38.56,0.66,0.2,,,,,,,
264.5,5.22,0.07,1.53,34.55,1.06,0.44,38.56,0.66,0.2,,,,,,,
288.6,5.24,0.07,1.44,41.12,1.24,0.48,24.66,0.76,0.2,,,,,,,
246.2,5.26,0.07,1.46,41.22,1.22,0.46,36.22,0.74,0.2,,,,,,,
285.3,5.55,0.07,1.48,41.15,1.24,0.42,32.44,0.64,0.2,,,,,,,
277.4,5.25,0.07,1.48,48.55,2.88,0.86,42.32,0.78,0.2,,,,,,,
274.3,5.24,0.07,1.45,46.33,2.66,0.28,42.24,0.74,0.2,,,,,,,
248.5,5.55,0.07,1.44,44.25,1.06,0.56,31.02,0.78,0.2,,,,,,,
285.6,5.56,0.07,1.66,35.02,1.08,0.42,38.26,0.74,0.2,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.2,,,,,,,
268.4,5.56,0.07,1.55,44.36,2.22,0.44,34.12,0.74,0.2,,,,,,,
246.3,5.24,0.07,1.55,41.22,1.22,0.58,32.06,0.74,0.2,,,,,,,
246.2,5.26,0.07,1.56,30.12,1.24,0.54,41.02,0.66,0.2,,,,,,,
255.2,5.23,0.07,1.52,30.26,1.26,0.58,40.03,0.64,0.2,,,,,,,
275.6,5.22,0.07,1.45,45.62,1.04,0.52,35.12,0.66,0.2,,,,,,,
278.5,5.45,0.08,1.44,41.25,2.26,0.55,42.22,0.78,0.2,,,,,,,
289.6,5.23,0.07,1.45,44.65,1.26,0.42,32.44,0.78,0.2,,,,,,,
248.6,5.56,0.07,1.45,30.66,1.22,0.44,48.22,0.68,0.2,,,,,,,
255.6,5.24,0.07,1.49,32.55,1.26,0.42,44.66,0.62,0.2,,,,,,,
274.1,5.26,0.08,1.44,42.55,2.48,0.34,48.26,0.72,0.2,,,,,,,
277.5,5.12,0.07,1.45,40.12,2.54,0.58,44.62,0.46,0.2,,,,,,,
274.5,5.25,0.07,1.33,46.22,2.36,0.52,44.22,0.78,0.2,,,,,,,
248.6,5.56,0.07,1.45,30.66,1.22,0.44,48.22,0.68,0.2,,,,,,,
246.2,5.26,0.07,1.56,30.12,1.24,0.54,41.02,0.66,0.2,,,,,,,
265.3,5.46,0.07,1.48,34.02,1.34,0.52,33.02,0.96,0.2,,,,,,,
254.6,5.25,0.07,1.46,35.02,1.36,0.54,31.05,0.64,0.2,,,,,,,
278.6,5.45,0.07,1.43,41.25,2.36,0.42,44.22,0.56,0.2,,,,,,,
278.5,5.45,0.08,1.44,41.25,2.26,0.55,42.22,0.78,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.2,,,,,,,
278.5,5.21,0.07,1.42,40.21,2.46,0.46,42.22,0.74,0.2,,,,,,,
245.6,5.45,0.07,1.46,41.22,1.24,0.48,44.26,0.68,0.2,,,,,,,
268.4,5.56,0.07,1.55,44.36,2.22,0.44,34.12,0.74,0.2,,,,,,,
248.5,5.55,0.07,1.44,44.25,1.06,0.56,31.02,0.78,0.2,,,,,,,
246.3,5.24,0.07,1.55,41.22,1.22,0.58,32.06,0.74,0.2,,,,,,,
280.3,5.44,0.07,1.44,55.16,2.53,0.46,43.26,0.76,0.2,,,,,,,
255.6,5.24,0.07,1.46,45.46,1.26,0.46,32.88,0.74,0.2,,,,,,,
277.4,5.25,0.07,1.48,48.55,2.88,0.86,42.32,0.78,0.2,,,,,,,
274.1,5.26,0.08,1.44,42.55,2.48,0.34,48.26,0.72,0.2,,,,,,,
285.4,5.66,0.06,1.48,35.66,1.88,0.46,34.12,0.55,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.3,,,,,,,
264.5,5.22,0.07,1.53,34.55,1.06,0.44,38.56,0.66,0.3,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.3,,,,,,,
265.4,5.44,0.07,1.42,42.52,2.66,0.62,46.22,0.74,0.2,,,,,,,
285.4,5.28,0.08,1.44,44.63,2.44,0.46,36.34,0.74,0.2,,,,,,,
278.4,5.28,0.08,1.46,44.25,2.66,0.42,32.44,0.78,0.2,,,,,,,
246.3,5.36,0.08,1.46,48.65,2.56,0.46,33.54,0.96,0.2,,,,,,,
276.3,5.28,0.08,1.44,56.32,2.55,0.44,32.66,0.64,0.2,,,,,,,
285.6,5.44,0.07,1.54,30.55,1.02,0.56,35.24,0.66,0.2,,,,,,,
285.6,5.26,0.07,1.52,41.02,1.06,0.52,36.22,0.68,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.2,,,,,,,
254.6,5.25,0.07,1.46,35.02,1.36,0.54,31.05,0.64,0.2,,,,,,,
285.6,5.26,0.07,1.45,44.22,1.26,0.44,36.24,0.74,0.2,,,,,,,
256.2,5.66,0.07,1.48,32.23,1.24,0.48,34.04,0.74,0.2,,,,,,,
245.6,5.45,0.07,1.46,41.22,1.24,0.48,44.26,0.68,0.2,,,,,,,
274.6,5.22,0.08,1.48,47.12,2.24,0.42,36.28,0.94,0.2,,,,,,,
278.6,5.24,0.08,1.49,40.12,2.66,0.42,33.64,0.92,0.2,,,,,,,
276.3,5.26,0.08,1.56,45.62,2.54,0.46,32.44,0.98,0.2,,,,,,,
277.8,5.24,0.07,1.46,41.25,1.08,0.58,36.24,0.68,0.2,,,,,,,
248.5,5.55,0.07,1.44,44.25,1.06,0.56,31.02,0.78,0.2,,,,,,,
284.6,5.24,0.08,1.46,32.55,1.26,0.42,36.02,0.75,0.2,,,,,,,
265.3,5.28,0.08,1.24,48.2,2.28,0.46,39.88,0.74,0.2,,,,,,,
277.1,5.28,0.08,1.45,44.12,2.88,0.48,33.66,0.76,0.2,,,,,,,
265.4,5.28,0.08,1.54,44.61,2.24,0.44,34.22,0.76,0.2,,,,,,,
